               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024759,           0.0093037,           0.0098183,             0.88338,             0.95743,             0.97246,              0.7331,            0.012751,           0.0066897,           0.0057069,          0.00097106,          0.00097106,            0.064071
                  37,            0.023144,            0.009051,           0.0094484,             0.88353,             0.93182,             0.96973,             0.73702,            0.013647,           0.0062069,           0.0059165,            0.000917,            0.000917,            0.063017
                  38,            0.025107,           0.0094691,           0.0093048,             0.90334,             0.97431,             0.98557,             0.64645,            0.015004,           0.0065219,           0.0039758,          0.00086344,          0.00086344,            0.061963
                  39,            0.022961,            0.009133,            0.010481,             0.92187,             0.96032,             0.98505,             0.84081,            0.011899,            0.006033,           0.0036054,          0.00081104,          0.00081104,            0.060911
                  40,            0.021454,           0.0083843,           0.0080237,             0.94809,             0.97167,             0.98261,             0.72926,            0.012269,           0.0060367,           0.0031974,           0.0007605,           0.0007605,            0.059861
                  41,            0.021953,           0.0089595,           0.0083096,              0.9443,             0.95716,             0.98352,             0.71038,            0.012136,           0.0059516,           0.0032315,          0.00071252,          0.00071252,            0.058813
                  42,            0.020531,           0.0081598,           0.0091506,             0.82512,              0.9733,             0.97016,             0.79836,            0.010855,           0.0059505,            0.007925,          0.00066779,          0.00066779,            0.057768
                  43,            0.020882,            0.008735,           0.0080212,             0.86406,             0.95455,              0.9699,             0.75382,            0.011109,           0.0056947,           0.0053415,          0.00062701,          0.00062701,            0.056727
                  44,            0.019838,           0.0079802,           0.0094895,             0.90385,             0.98016,             0.98083,             0.85346,           0.0091466,           0.0055165,           0.0034224,          0.00059089,          0.00059089,            0.055691
                  45,            0.019402,           0.0079569,           0.0083207,             0.92318,             0.96645,             0.98262,             0.77394,            0.010007,           0.0058725,            0.003158,          0.00056009,          0.00056009,             0.05466
                  46,            0.019353,           0.0083464,            0.010239,              0.9207,             0.97169,             0.98336,             0.75531,            0.012713,           0.0059804,           0.0030524,          0.00053531,          0.00053531,            0.053635
                  47,            0.019429,           0.0080367,           0.0073577,             0.94453,             0.93752,             0.98206,              0.8494,           0.0097889,           0.0054919,            0.003043,          0.00051718,          0.00051718,            0.052617
                  48,            0.019187,           0.0079477,           0.0086741,             0.93901,             0.96016,             0.98692,             0.86064,            0.010108,           0.0057978,           0.0027981,          0.00050635,          0.00050635,            0.051606
                  49,            0.018999,           0.0077036,           0.0088182,             0.95529,             0.96302,             0.98631,             0.84512,            0.010268,           0.0054012,           0.0028469,          0.00050343,          0.00050343,            0.050603
